merchant,amount,category
Reliance Fresh,673.77,Groceries
Domino's India,2990.0,Food
BPCL,2020.3,Fuel
Ace Hardware India,1477.67,Miscellaneous
Indian Oil,2129.05,Fuel
BPCL,2925.49,Fuel
Local Hardware Store,5398.69,Miscellaneous
Spotify,850.0,Subscription
Municipal Water Department,1855.72,Bills
Tata Power,1479.86,Bills
Starbucks India,116.0,Food
Swiggy,116.0,Food
Tata Power,1846.37,Bills
Bakery,44.92,Other
Credit Card Bill Payment,4103.21,Bills
Burger King,116.0,Food
Domino's India,194.67,Food
Swiggy,116.0,Food
Swiggy,116.0,Food
BSNL,2183.78,Bills
HPCL,2437.52,Fuel
Reliance Fresh,1477.89,Groceries
Kirana Shop,934.51,Other
Airtel,1309.1,Bills
Laundry,1381.67,Other
Airtel,2166.55,Bills
Jio,2426.95,Bills
HDFC Ergo,8577.76,Insurance
Spotify,243.74,Subscription
Burger King,1176.78,Food
Airtel,2116.97,Bills
Tata Power,3938.0,Bills
Lakme Salon,789.58,Miscellaneous
Blinkit,836.34,Groceries
IRCTC,336.88,Miscellaneous
Amazon India,5588.54,Shopping
Disney+ Hotstar,309.9,Subscription
HPCL,2751.95,Fuel
Jio Fiber,1344.71,Bills
LIC,8133.63,Insurance
Blinkit,578.17,Groceries
BookMyShow,253.31,Entertainment
Meesho,288.0,Shopping
Rapido,751.46,Miscellaneous
Airtel,4787.86,Bills
Adani Electricity,2954.19,Bills
Misc Vendor,1847.06,Other
Third Wave Coffee,1194.96,Food
Credit Card Bill Payment,2435.51,Bills
Zepto,714.09,Groceries
Airtel,3994.74,Bills
Local Store,143.57,Other
Blinkit,300.0,Groceries
BEST,1201.81,Bills
Adani Electricity,3002.16,Bills
Nykaa,6192.83,Shopping
Indian Oil,3048.29,Fuel
Zepto,2058.92,Groceries
House Rent Payment,8298.96,Rent
Credit Card Bill Payment,1527.21,Bills
Credit Card Bill Payment,8910.56,Bills
HPCL,2527.04,Fuel
BPCL,3381.51,Fuel
Amazon India,493.23,Shopping
Reliance Fresh,300.0,Groceries
Domino's India,720.99,Food
Nature's Basket,1658.96,Groceries
Credit Card Bill Payment,3223.38,Bills
Credit Card Bill Payment,2288.68,Bills
BookMyShow,310.27,Entertainment
Tata Power,910.52,Bills
Swiggy,504.34,Food
KFC India,116.0,Food
Bakery,480.08,Other
McDonald's India,1781.11,Food
Flipkart,340.03,Shopping
Amazon India,288.0,Shopping
HDFC Ergo,8182.07,Insurance
Zepto,1185.81,Groceries
Credit Card Bill Payment,1258.47,Bills
Flower Shop,209.63,Other
Indian Oil,3105.63,Fuel
Bharat Gas,1943.03,Bills
BigBasket,1083.32,Groceries
Reliance Fresh,983.7,Groceries
Street Vendor,229.69,Other
Zepto,812.88,Groceries
Tea Stall,49.78,Other
House Rent Payment,7542.54,Rent
Jio,741.34,Bills
Burger King,240.51,Food
Airtel,1408.91,Bills
DMart,810.77,Groceries
BSNL,1106.25,Bills
McDonald's India,116.0,Food
Chaayos,517.83,Food
Bajaj Allianz,7990.0,Insurance
Rapido,2812.02,Miscellaneous
Social,116.0,Food
Blinkit,300.0,Groceries
Rapido,4321.59,Miscellaneous
Blinkit,857.23,Groceries
Swiggy,341.85,Food
EatClub,2611.07,Food
Cafe Coffee Day,185.54,Food
Employer Salary Credit,53993.7,Salary
Local Wine & Beer Shop,116.0,Food
Local Wine & Beer Shop,442.87,Food
Credit Card Bill Payment,782.2,Bills
Social,234.97,Food
Jio,7454.14,Bills
Tata Play,149.0,Subscription
BookMyShow,363.13,Entertainment
DMart,1031.74,Groceries
Adani Electricity,6668.1,Bills
HP Gas,5861.25,Bills
Tata Play,152.37,Subscription
Swiggy,116.0,Food
House Rent Payment,42382.94,Rent
Faasos,352.93,Food
Unknown Merchant,694.54,Other
Credit Card Bill Payment,626.15,Bills
Jio,1500.38,Bills
DMart,1234.5,Groceries
Zepto,1550.31,Groceries
Uber,65.52,Miscellaneous
Credit Card Bill Payment,4893.16,Bills
Credit Card Bill Payment,4224.36,Bills
Vegetable Market,334.89,Other
Credit Card Bill Payment,1922.02,Bills
Domino's India,342.63,Food
Indian Oil,1974.23,Fuel
Local Wine & Beer Shop,547.77,Food
Jio Fiber,258.05,Bills
House Rent Payment,7601.0,Rent
BPCL,3036.7,Fuel
Credit Card Bill Payment,187.0,Bills
Adani Electricity,1435.57,Bills
Jio,230.35,Bills
Credit Card Bill Payment,4353.92,Bills
Zomato,605.95,Food
Uber,566.93,Miscellaneous
Credit Card Bill Payment,2319.46,Bills
Cafe Coffee Day,954.26,Food
Vegetable Market,476.73,Other
Local Services,1993.85,Other
Domino's India,116.0,Food
Ajio,288.0,Shopping
Starbucks India,864.58,Food
Jio Fiber,957.51,Bills
Credit Card Bill Payment,1920.7,Bills
The Beer Cafe,116.0,Food
Burger King,1103.26,Food
Apollo Pharmacy,470.26,Miscellaneous
Domino's India,992.92,Food
Indane Gas,1048.49,Bills
Airtel,2215.6,Bills
Bakery,439.17,Other
Bharat Gas,3557.66,Bills
KFC India,431.23,Food
DMart,1299.9,Groceries
General Store,90.46,Other
Ajio,3838.33,Shopping
Blinkit,643.47,Groceries
Credit Card Bill Payment,3037.99,Bills
Credit Card Bill Payment,4211.91,Bills
Zepto,1077.92,Groceries
Employer Salary Credit,48563.74,Salary
Airtel,4028.97,Bills
BEST,13326.76,Bills
BigBasket,1208.95,Groceries
Indian Oil,3464.06,Fuel
Jio,6143.15,Bills
Misc Vendor,1541.36,Other
House Rent Payment,36214.95,Rent
Nature's Basket,662.23,Groceries
HP Gas,2888.39,Bills
DMart,320.31,Groceries
KFC India,378.12,Food
Employer Salary Credit,42163.19,Salary
Zepto,1260.85,Groceries
Nature's Basket,300.0,Groceries
Myntra,288.0,Shopping
BookMyShow,237.41,Entertainment
Credit Card Bill Payment,15356.53,Bills
Jio,270.5,Bills
Reliance Fresh,300.0,Groceries
Domino's India,1240.91,Food
Local Store,207.78,Other
Burger King,550.95,Food
General Store,1162.32,Other
McDonald's India,116.0,Food
Local Services,1104.34,Other
Credit Card Bill Payment,9335.72,Bills
Disney+ Hotstar,349.22,Subscription
Laundry,1853.7,Other
Credit Card Bill Payment,2743.92,Bills
Credit Card Bill Payment,1542.39,Bills
Swiggy,311.96,Food
Nature's Basket,590.39,Groceries
Blinkit,814.29,Groceries
Nature's Basket,400.82,Groceries
Local Store,678.52,Other
Airtel,2088.89,Bills
Zomato,336.54,Food
BigBasket,1491.49,Groceries
Vegetable Market,404.52,Other
HPCL,3629.57,Fuel
BSNL,6213.83,Bills
Amazon India,9766.42,Shopping
Home Depot India,736.02,Miscellaneous
House Rent Payment,37323.22,Rent
Swiggy,1389.15,Food
BPCL,1925.59,Fuel
Burger King,270.24,Food
EatClub,484.37,Food
HPCL,3543.1,Fuel
Jio,3854.75,Bills
BPCL,4777.55,Fuel
Blinkit,770.03,Groceries
BookMyShow,258.06,Entertainment
Indian Oil,3077.33,Fuel
Jio,2679.42,Bills
Flipkart,288.0,Shopping
Tea Stall,104.07,Other
KFC India,633.44,Food
Local Wine & Beer Shop,116.0,Food
Myntra,611.95,Shopping
Airtel,1183.54,Bills
McDonald's India,116.0,Food
Local Store,2150.23,Other
Local Wine & Beer Shop,452.15,Food
Nature's Basket,1147.49,Groceries
Jio Fiber,375.29,Bills
House Rent Payment,8295.41,Rent
Flipkart,288.0,Shopping
BigBasket,810.62,Groceries
The Beer Cafe,1425.26,Food
Credit Card Bill Payment,2459.75,Bills
Credit Card Bill Payment,5312.32,Bills
Bharat Gas,187.0,Bills
Myntra,288.0,Shopping
Amazon India,288.0,Shopping
McDonald's India,390.15,Food
BEST,1681.41,Bills
Uber,1064.92,Miscellaneous
Third Wave Coffee,116.0,Food
Credit Card Bill Payment,1865.54,Bills
Reliance Fresh,447.6,Groceries
Tata Power,1981.89,Bills
Blinkit,1484.68,Groceries
Swiggy,483.02,Food
Nature's Basket,349.21,Groceries
Cafe Coffee Day,1274.53,Food
Swiggy,551.79,Food
Zepto,300.0,Groceries
Reliance Fresh,2928.96,Groceries
Zomato,324.23,Food
HP Gas,427.33,Bills
Cafe Coffee Day,1171.22,Food
Reliance Fresh,300.0,Groceries
Domino's India,152.9,Food
Airtel,1105.61,Bills
Street Vendor,61.72,Other
Credit Card Bill Payment,7286.14,Bills
Chaayos,728.78,Food
Unknown Merchant,451.42,Other
Zepto,1085.95,Groceries
BPCL,2784.02,Fuel
Local Hardware Store,96.86,Miscellaneous
BigBasket,926.74,Groceries
Local Store,2433.13,Other
Credit Card Bill Payment,2941.95,Bills
Bakery,355.49,Other
Jio,9054.4,Bills
Jio,318.0,Bills
Indian Oil,2499.92,Fuel
Credit Card Bill Payment,3527.9,Bills
BEST,1210.5,Bills
Tailor,1328.54,Other
Spotify,343.94,Subscription
Fruit Vendor,358.14,Other
DMart,1213.3,Groceries
Jio Fiber,2315.5,Bills
Barbeque Nation,687.91,Food
Flower Shop,371.02,Other
Blinkit,1652.68,Groceries
Flipkart,485.28,Shopping
HDFC Ergo,8337.12,Insurance
Local Wine & Beer Shop,116.0,Food
Indian Oil,2364.91,Fuel
Nature's Basket,300.0,Groceries
HP Gas,403.59,Bills
DMart,951.37,Groceries
Ola,372.22,Miscellaneous
BigBasket,567.66,Groceries
Myntra,411.52,Shopping
Zomato,399.09,Food
House Rent Payment,36295.24,Rent
Jio Fiber,1831.51,Bills
EatClub,685.65,Food
BigBasket,721.38,Groceries
Credit Card Bill Payment,1981.5,Bills
Credit Card Bill Payment,5290.63,Bills
Domino's India,225.85,Food
BEST,3514.28,Bills
Local Wine & Beer Shop,1613.93,Food
Amazon India,3517.35,Shopping
General Store,593.0,Other
Flipkart,288.0,Shopping
Municipal Water Department,718.0,Bills
Credit Card Bill Payment,2503.66,Bills
Credit Card Bill Payment,3507.04,Bills
Credit Card Bill Payment,6221.93,Bills
Employer Salary Credit,55998.36,Salary
Amazon Prime,149.0,Subscription
Naturals Salon,4640.69,Miscellaneous
Employer Salary Credit,62172.08,Salary
Airtel,1060.74,Bills
Chaayos,116.0,Food
Jio,2724.38,Bills
HPCL,2424.69,Fuel
Rapido,3475.39,Miscellaneous
Zepto,1932.15,Groceries
Home Depot India,453.14,Miscellaneous
Third Wave Coffee,908.73,Food
Bharat Gas,1662.79,Bills
BigBasket,1407.74,Groceries
BookMyShow,547.9,Entertainment
Kirana Shop,2273.6,Other
Credit Card Bill Payment,187.0,Bills
House Rent Payment,7715.14,Rent
Local Wine & Beer Shop,263.8,Food
Myntra,288.0,Shopping
Myntra,288.0,Shopping
BigBasket,1330.86,Groceries
Airtel,2385.84,Bills
Flipkart,405.6,Shopping
Tata Play,333.18,Subscription
Zomato,746.46,Food
HDFC Ergo,8829.58,Insurance
Ajio,288.0,Shopping
Local Services,902.64,Other
BEST,2170.57,Bills
DMart,683.58,Groceries
HPCL,2587.4,Fuel
Faasos,1094.2,Food
Cafe Coffee Day,116.0,Food
DMart,853.73,Groceries
House Rent Payment,8178.67,Rent
McDonald's India,116.0,Food
Nykaa,288.0,Shopping
BEST,327.75,Bills
Adani Electricity,1550.28,Bills
McDonald's India,534.01,Food
Credit Card Bill Payment,6614.26,Bills
BEST,7639.04,Bills
Credit Card Bill Payment,5381.68,Bills
BEST,1114.28,Bills
Blinkit,1190.69,Groceries
LIC,8405.16,Insurance
Reliance Fresh,677.75,Groceries
BookMyShow,326.07,Entertainment
BPCL,1757.97,Fuel
BEST,1648.91,Bills
HP Gas,3410.97,Bills
Zepto,300.0,Groceries
Zepto,699.19,Groceries
Domino's India,156.26,Food
The Beer Cafe,394.12,Food
DMart,1101.76,Groceries
Credit Card Bill Payment,341.39,Bills
Ola,60.0,Miscellaneous
Indian Oil,2947.67,Fuel
Credit Card Bill Payment,656.96,Bills
Indane Gas,1399.12,Bills
Starbucks India,354.1,Food
McDonald's India,116.0,Food
House Rent Payment,7870.76,Rent
Rapido,1400.09,Miscellaneous
Indian Oil,4110.45,Fuel
HDFC Ergo,8629.73,Insurance
Reliance Fresh,300.0,Groceries
Bakery,356.79,Other
Local Store,2303.89,Other
Indian Oil,4380.55,Fuel
Reliance Fresh,1268.01,Groceries
Cafe Coffee Day,566.42,Food
Spotify,149.0,Subscription
House Rent Payment,7807.94,Rent
Myntra,1052.31,Shopping
Credit Card Bill Payment,2149.2,Bills
Municipal Water Department,527.24,Bills
Rapido,277.54,Miscellaneous
McDonald's India,549.8,Food
McDonald's India,1330.85,Food
Amazon India,288.0,Shopping
BookMyShow,383.96,Entertainment
Ajio,1765.9,Shopping
Swiggy,817.66,Food
Barbeque Nation,579.29,Food
EatClub,359.85,Food
Jio Fiber,2711.69,Bills
Blinkit,503.83,Groceries
Indian Oil,2476.33,Fuel
Credit Card Bill Payment,874.81,Bills
Fruit Vendor,132.27,Other
BookMyShow,263.12,Entertainment
Local Services,2037.32,Other
Swiggy,513.11,Food
Flipkart,3206.47,Shopping
Amazon India,697.32,Shopping
Street Vendor,58.19,Other
Credit Card Bill Payment,9824.77,Bills
Toit Brewpub,1343.09,Food
Credit Card Bill Payment,3252.37,Bills
Credit Card Bill Payment,2214.49,Bills
Zepto,894.72,Groceries
General Store,809.51,Other
BigBasket,395.39,Groceries
Burger King,173.45,Food
Ola,3049.47,Miscellaneous
Zepto,942.02,Groceries
Swiggy,388.27,Food
BigBasket,889.23,Groceries
HP Gas,5131.85,Bills
Toit Brewpub,586.43,Food
Flipkart,288.0,Shopping
Starbucks India,284.72,Food
Amazon India,802.39,Shopping
Employer Salary Credit,44019.33,Salary
HDFC Ergo,8317.03,Insurance
Zomato,116.0,Food
Fruit Vendor,51.68,Other
Flipkart,11805.73,Shopping
Credit Card Bill Payment,751.22,Bills
Naturals Salon,273.07,Miscellaneous
House Rent Payment,7969.53,Rent
Credit Card Bill Payment,2174.05,Bills
Bharat Gas,1424.23,Bills
DMart,795.92,Groceries
Chaayos,1127.29,Food
HPCL,3998.7,Fuel
McDonald's India,384.47,Food
The Beer Cafe,190.58,Food
Disney+ Hotstar,243.36,Subscription
Airtel,4571.52,Bills
Flipkart,1338.16,Shopping
Adani Electricity,4769.81,Bills
Amazon India,614.11,Shopping
Street Vendor,39.35,Other
Credit Card Bill Payment,2200.54,Bills
Zepto,2040.49,Groceries
Zomato,1523.28,Food
Indian Oil,2918.02,Fuel
Bharat Gas,1336.99,Bills
PharmEasy,1229.34,Miscellaneous
McDonald's India,203.22,Food
Myntra,824.5,Shopping
McDonald's India,421.6,Food
BookMyShow,200.42,Entertainment
Airtel,983.11,Bills
Reliance Fresh,974.66,Groceries
Dish TV,226.62,Subscription
Cafe Coffee Day,1891.1,Food
Myntra,288.0,Shopping
EatClub,309.47,Food
Meesho,803.32,Shopping
Lakme Salon,1371.98,Miscellaneous
Reliance Fresh,753.39,Groceries
Tata Power,4164.36,Bills
Zomato,266.71,Food
Ola,159.54,Miscellaneous
Vegetable Market,418.43,Other
Credit Card Bill Payment,3490.54,Bills
Bharat Gas,195.94,Bills
BigBasket,537.14,Groceries
Adani Electricity,2307.1,Bills
Employer Salary Credit,43972.5,Salary
Jio Fiber,4064.7,Bills
Zomato,454.2,Food
BigBasket,753.31,Groceries
Myntra,313.71,Shopping
Credit Card Bill Payment,469.82,Bills
Tata Power,1234.52,Bills
Credit Card Bill Payment,4265.19,Bills
Chaayos,116.0,Food
Blinkit,1729.48,Groceries
Zepto,300.0,Groceries
Zomato,656.59,Food
Reliance Fresh,998.68,Groceries
Flipkart,288.0,Shopping
Employer Salary Credit,41103.99,Salary
Burger King,116.0,Food
Dish TV,290.46,Subscription
DMart,1691.59,Groceries
BSNL,1175.72,Bills
Indian Oil,3020.39,Fuel
Indane Gas,3114.95,Bills
Jio,1108.76,Bills
Jio,1454.08,Bills
Jio,4412.37,Bills
McDonald's India,713.51,Food
Amazon India,334.33,Shopping
Social,116.0,Food
Credit Card Bill Payment,3771.2,Bills
Blinkit,1089.31,Groceries
Credit Card Bill Payment,2406.76,Bills
Jio Fiber,12175.1,Bills
BPCL,2104.04,Fuel
Employer Salary Credit,38433.18,Salary
DMart,300.0,Groceries
Credit Card Bill Payment,7116.05,Bills
Jio Fiber,5659.7,Bills
Nykaa,957.32,Shopping
Nykaa,1626.39,Shopping
Tailor,2299.56,Other
House Rent Payment,7570.9,Rent
Ajio,288.0,Shopping
Credit Card Bill Payment,187.0,Bills
Jio,1742.82,Bills
Social,971.45,Food
Amazon India,288.0,Shopping
Local Hardware Store,278.22,Miscellaneous
Apollo Pharmacy,60.0,Miscellaneous
BookMyShow,361.03,Entertainment
Blinkit,595.83,Groceries
Myntra,288.0,Shopping
Credit Card Bill Payment,629.07,Bills
DMart,999.54,Groceries
Zomato,696.24,Food
Zepto,1635.68,Groceries
Flipkart,288.0,Shopping
BPCL,3465.44,Fuel
House Rent Payment,8441.52,Rent
Adani Electricity,1615.87,Bills
Credit Card Bill Payment,4094.41,Bills
Nykaa,288.0,Shopping
Credit Card Bill Payment,196.07,Bills
HPCL,2785.17,Fuel
Nykaa,615.71,Shopping
General Store,1952.61,Other
Flipkart,692.67,Shopping
BookMyShow,267.12,Entertainment
Faasos,795.19,Food
Domino's India,322.89,Food
Misc Vendor,711.56,Other
HP Gas,3077.87,Bills
Credit Card Bill Payment,3279.33,Bills
Amazon India,288.0,Shopping
McDonald's India,116.0,Food
Chaayos,899.51,Food
Credit Card Bill Payment,187.0,Bills
BEST,1516.07,Bills
Swiggy,499.87,Food
Uber,283.34,Miscellaneous
Ola,60.0,Miscellaneous
Jio,432.92,Bills
BigBasket,981.2,Groceries
Zomato,116.0,Food
Indian Oil,2501.16,Fuel
Ola,884.8,Miscellaneous
Jio,2704.05,Bills
DMart,300.0,Groceries
Blinkit,975.51,Groceries
Meesho,1152.69,Shopping
Credit Card Bill Payment,1167.86,Bills
IRCTC,2875.28,Miscellaneous
KFC India,148.05,Food
Social,450.74,Food
DMart,1185.57,Groceries
House Rent Payment,46257.98,Rent
Local Wine & Beer Shop,328.54,Food
Local Barbershop,812.93,Miscellaneous
DMart,2114.55,Groceries
Employer Salary Credit,48418.28,Salary
BookMyShow,164.36,Entertainment
Kirana Shop,869.43,Other
BookMyShow,149.0,Entertainment
Bajaj Allianz,7990.0,Insurance
Local Services,335.01,Other
BSNL,920.64,Bills
Zepto,440.27,Groceries
Zepto,741.23,Groceries
Credit Card Bill Payment,3188.69,Bills
BSNL,2642.16,Bills
Domino's India,1501.08,Food
Employer Salary Credit,56002.56,Salary
Naturals Salon,328.43,Miscellaneous
Indian Oil,4057.51,Fuel
Vegetable Market,542.68,Other
Credit Card Bill Payment,1405.74,Bills
Credit Card Bill Payment,7531.63,Bills
Zomato,345.65,Food
Jio Fiber,3720.62,Bills
Indian Oil,3883.96,Fuel
Employer Salary Credit,43706.26,Salary
Credit Card Bill Payment,2890.79,Bills
Reliance Fresh,1309.79,Groceries
Adani Electricity,4495.9,Bills
Chaayos,785.09,Food
Nature's Basket,745.14,Groceries
Jio,187.0,Bills
DMart,951.75,Groceries
Nature's Basket,1490.71,Groceries
Indian Oil,4295.38,Fuel
Swiggy,189.85,Food
Tata Power,1225.18,Bills
HDFC Ergo,8771.0,Insurance
Bharat Gas,2078.99,Bills
Domino's India,1175.3,Food
Indian Oil,2668.35,Fuel
Tailor,1483.92,Other
Employer Salary Credit,50014.14,Salary
Credit Card Bill Payment,6893.07,Bills
Jio,4869.69,Bills
BEST,4889.78,Bills
Spotify,149.0,Subscription
Domino's India,227.75,Food
DMart,975.04,Groceries
McDonald's India,116.0,Food
Toit Brewpub,153.16,Food
Credit Card Bill Payment,1891.52,Bills
Adani Electricity,3897.25,Bills
Barbeque Nation,169.0,Food
Tailor,2320.53,Other
Tailor,839.36,Other
Jio Fiber,977.34,Bills
Swiggy,168.79,Food
Local Barbershop,4937.58,Miscellaneous
BookMyShow,520.83,Entertainment
Toit Brewpub,116.0,Food
Blinkit,1029.93,Groceries
DMart,1126.24,Groceries
Credit Card Bill Payment,580.17,Bills
Chaayos,455.52,Food
Amazon India,288.0,Shopping
Third Wave Coffee,382.96,Food
Adani Electricity,1976.96,Bills
BookMyShow,181.74,Entertainment
HP Gas,515.05,Bills
Credit Card Bill Payment,495.87,Bills
Adani Electricity,6157.99,Bills
The Beer Cafe,116.0,Food
Employer Salary Credit,52336.86,Salary
Zomato,502.47,Food
BSNL,2578.79,Bills
Amazon India,288.0,Shopping
Vegetable Market,330.51,Other
Jio,965.61,Bills
Municipal Water Department,1809.71,Bills
Ajio,288.0,Shopping
BSNL,4443.37,Bills
EatClub,116.0,Food
Municipal Water Department,3520.66,Bills
Credit Card Bill Payment,2095.05,Bills
Municipal Water Department,13683.17,Bills
Tata Power,2552.03,Bills
Faasos,839.28,Food
Credit Card Bill Payment,1477.78,Bills
Credit Card Bill Payment,4412.58,Bills
PharmEasy,130.43,Miscellaneous
Zomato,308.71,Food
Credit Card Bill Payment,881.87,Bills
LIC,8612.36,Insurance
BookMyShow,466.34,Entertainment
Credit Card Bill Payment,401.24,Bills
Unknown Merchant,2228.36,Other
Jio,1427.12,Bills
Adani Electricity,1208.7,Bills
Nature's Basket,673.68,Groceries
Starbucks India,116.0,Food
Apollo Pharmacy,3485.28,Miscellaneous
Starbucks India,116.0,Food
HPCL,2970.72,Fuel
Chaayos,116.38,Food
Third Wave Coffee,1410.15,Food
Meesho,288.0,Shopping
Starbucks India,538.39,Food
McDonald's India,116.0,Food
Burger King,1053.47,Food
Jio,1459.27,Bills
Nature's Basket,388.74,Groceries
BookMyShow,477.96,Entertainment
Zomato,116.0,Food
BigBasket,742.11,Groceries
Netflix,149.0,Subscription
Amazon India,288.0,Shopping
Adani Electricity,1678.84,Bills
House Rent Payment,34802.44,Rent
Myntra,1587.67,Shopping
Airtel,506.27,Bills
Credit Card Bill Payment,2416.51,Bills
Reliance Fresh,790.82,Groceries
Nature's Basket,954.11,Groceries
ICICI Lombard,8670.81,Insurance
DMart,956.49,Groceries
Local Store,541.72,Other
Amazon Prime,149.0,Subscription
Reliance Fresh,471.64,Groceries
Burger King,505.67,Food
BPCL,3208.3,Fuel
Credit Card Bill Payment,2612.71,Bills
Credit Card Bill Payment,839.91,Bills
BSNL,6485.93,Bills
Jio Fiber,538.96,Bills
Credit Card Bill Payment,910.08,Bills
Credit Card Bill Payment,1240.25,Bills
Misc Vendor,1925.63,Other
Chaayos,626.4,Food
HPCL,3187.85,Fuel
Credit Card Bill Payment,2700.86,Bills
Mobile Repair,2237.96,Other
Tata 1mg,60.0,Miscellaneous
BigBasket,1680.8,Groceries
McDonald's India,151.83,Food
KFC India,882.1,Food
Employer Salary Credit,51185.37,Salary
BigBasket,867.72,Groceries
Cafe Coffee Day,232.9,Food
McDonald's India,988.18,Food
BPCL,1827.58,Fuel
Ajio,1007.05,Shopping
HP Gas,3766.41,Bills
Nature's Basket,320.61,Groceries
Tata Power,5170.3,Bills
Zepto,472.58,Groceries
Reliance Fresh,450.36,Groceries
Zepto,796.09,Groceries
BSNL,4915.58,Bills
Municipal Water Department,2046.63,Bills
Local Services,2046.49,Other
Employer Salary Credit,52963.61,Salary
Ace Hardware India,269.59,Miscellaneous
Cafe Coffee Day,539.18,Food
Tata 1mg,1074.59,Miscellaneous
House Rent Payment,8043.07,Rent
McDonald's India,116.0,Food
Credit Card Bill Payment,1379.13,Bills
House Rent Payment,42343.13,Rent
Swiggy,1810.81,Food
Bharat Gas,8793.4,Bills
KFC India,116.0,Food
BSNL,8857.85,Bills
Cafe Coffee Day,376.11,Food
Indian Oil,2012.33,Fuel
Jio,2836.16,Bills
Credit Card Bill Payment,2209.24,Bills
BookMyShow,292.8,Entertainment
BEST,3972.57,Bills
BookMyShow,554.2,Entertainment
Nature's Basket,370.42,Groceries
Zepto,300.0,Groceries
Spotify,674.41,Subscription
HDFC Ergo,8536.28,Insurance
HPCL,3266.91,Fuel
Reliance Fresh,353.98,Groceries
Tata Power,5519.43,Bills
Laundry,627.63,Other
BigBasket,1669.6,Groceries
Reliance Fresh,425.91,Groceries
Adani Electricity,385.96,Bills
Tata Power,1132.82,Bills
Myntra,1909.72,Shopping
Reliance Fresh,1081.68,Groceries
Flower Shop,45.21,Other
Starbucks India,487.19,Food
McDonald's India,501.26,Food
Credit Card Bill Payment,1960.69,Bills
Zomato,890.92,Food
Amazon India,288.0,Shopping
Flipkart,288.0,Shopping
Adani Electricity,6021.68,Bills
Laundry,89.28,Other
BigBasket,636.29,Groceries
ICICI Lombard,8351.92,Insurance
Indian Oil,4526.25,Fuel
Lakme Salon,3379.76,Miscellaneous
Myntra,288.0,Shopping
Laundry,1504.6,Other
Credit Card Bill Payment,4345.72,Bills
Credit Card Bill Payment,1926.23,Bills
Misc Vendor,1426.96,Other
Indian Oil,2316.95,Fuel
PharmEasy,262.69,Miscellaneous
Netflix,461.3,Subscription
House Rent Payment,34377.77,Rent
EatClub,116.0,Food
BSNL,4887.51,Bills
Reliance Fresh,300.0,Groceries
BSNL,2594.44,Bills
Vegetable Market,499.85,Other
BEST,2128.66,Bills
Starbucks India,116.0,Food
Indian Oil,1702.15,Fuel
HPCL,2740.09,Fuel
Spotify,850.0,Subscription
Flipkart,426.74,Shopping
BEST,10254.46,Bills
Airtel,6443.68,Bills
Jio,3109.44,Bills
Chaayos,427.25,Food
Myntra,288.0,Shopping
Ace Hardware India,141.87,Miscellaneous
PharmEasy,395.01,Miscellaneous
BookMyShow,343.17,Entertainment
Jio,1476.19,Bills
IRCTC,60.0,Miscellaneous
Domino's India,382.2,Food
Credit Card Bill Payment,1130.02,Bills
Meesho,288.0,Shopping
Street Vendor,248.37,Other
Tailor,2353.08,Other
Bharat Gas,2385.52,Bills
Blinkit,908.62,Groceries
House Rent Payment,43761.7,Rent
Bakery,239.49,Other
Vegetable Market,476.64,Other
Reliance Fresh,928.74,Groceries
DMart,928.02,Groceries
Jio Fiber,12768.3,Bills
Credit Card Bill Payment,2043.99,Bills
Municipal Water Department,3317.0,Bills
Myntra,14738.39,Shopping
BPCL,1788.73,Fuel
Credit Card Bill Payment,6776.91,Bills
Credit Card Bill Payment,5975.77,Bills
Credit Card Bill Payment,517.04,Bills
Credit Card Bill Payment,367.43,Bills
Myntra,288.0,Shopping
Local Store,1570.22,Other
Reliance Fresh,610.66,Groceries
Domino's India,116.0,Food
BPCL,4463.25,Fuel
Tata Power,1575.94,Bills
Credit Card Bill Payment,2036.41,Bills
Credit Card Bill Payment,2251.07,Bills
Airtel,305.14,Bills
DMart,1261.94,Groceries
Airtel,204.0,Bills
Fruit Vendor,102.3,Other
Street Vendor,235.18,Other
Amazon India,288.0,Shopping
Tata Power,380.95,Bills
Bharat Gas,2581.5,Bills
PharmEasy,60.0,Miscellaneous
BEST,1252.05,Bills
Indian Oil,3695.52,Fuel
PharmEasy,2026.71,Miscellaneous
Flipkart,288.0,Shopping
Zepto,1012.97,Groceries
Cafe Coffee Day,451.13,Food
Credit Card Bill Payment,2942.96,Bills
EatClub,1816.26,Food
Bharat Gas,2640.71,Bills
BigBasket,449.83,Groceries
Municipal Water Department,2324.76,Bills
Amazon Prime,305.04,Subscription
IRCTC,60.0,Miscellaneous
Spotify,149.0,Subscription
Nature's Basket,300.0,Groceries
Tata 1mg,2655.63,Miscellaneous
BookMyShow,271.09,Entertainment
Meesho,2003.45,Shopping
Jio,13960.69,Bills
Jio Fiber,546.94,Bills
Zomato,866.68,Food
Credit Card Bill Payment,1966.52,Bills
Nykaa,11751.02,Shopping
Rapido,3377.64,Miscellaneous
Airtel,696.75,Bills
DMart,300.0,Groceries
HPCL,3704.43,Fuel
Netflix,294.67,Subscription
House Rent Payment,7920.8,Rent
Local Barbershop,650.05,Miscellaneous
Indane Gas,1580.03,Bills
HPCL,2785.38,Fuel
BSNL,9754.07,Bills
Adani Electricity,1221.47,Bills
